cars_name,cars_brand,model_year,kms,gasoliene_type,price
Hyundai Verna,Hyundai,2017,57506,Petrol,808000
Hyundai Grand I10,Hyundai,2018,61598,Petrol,517000
Hyundai Elite I20,Hyundai,2017,55143,Petrol,628000
Maruti Swift Dzire,Maruti,2013,46749,Petrol,509000
Maruti Xl6,Maruti,2019,17878,Petrol,1166000
Tata Nexon,Tata,2019,67271,Diesel,933000
Maruti Dzire,Maruti,2018,33852,Petrol,771000
Hyundai Elite I20,Hyundai,2017,51181,Petrol,729000
Hyundai New I20,Hyundai,2021,13705,Petrol,893000
Maruti Swift,Maruti,2011,68042,Petrol,483000
Maruti Swift,Maruti,2021,55114,Petrol,747000
Nissan Magnite,Nissan,2022,2716,Petrol,1142000
Hyundai Creta,Hyundai,2016,67621,Petrol,913000
Renault Kwid,Renault,2019,4019,Petrol,475000
Renault Captur,Renault,2018,40592,Diesel,751000
Hyundai I10,Hyundai,2013,91279,Petrol,374000
Hyundai Santro Xing,Hyundai,2012,71036,Petrol,295000
Maruti S Cross,Maruti,2016,48266,Diesel,758000
Maruti Baleno,Maruti,2019,53627,Petrol,834000
Volkswagen Vento,Volkswagen,2016,90271,Diesel,719000
Maruti Swift,Maruti,2013,40611,Petrol,473000
Renault Kwid,Renault,2017,22097,Petrol,401000
Hyundai Grand I10,Hyundai,2015,71730,Petrol,437000
Mahindra Xuv500,Mahindra,2015,67077,Diesel,1046000
Maruti Dzire,Maruti,2017,75187,Diesel,774000
Toyota Yaris,Toyota,2020,22541,Petrol,1192000
Honda Amaze,Honda,2022,4331,Petrol,1027000
Volkswagen Tiguan,Volkswagen,2017,119427,Diesel,1777000
Ford Ecosport,Ford,2019,30149,Diesel,945000
Hyundai Creta,Hyundai,2020,15905,Petrol,1549000
Hyundai Grand I10,Hyundai,2017,12246,Petrol,516000
Maruti Swift Dzire,Maruti,2012,63285,Petrol,506000
Honda Wr-V,Honda,2017,93518,Diesel,790000
Hyundai I10,Hyundai,2016,36198,Petrol,429000
Datsun Redi Go,Datsun,2017,46031,Petrol,300000
Honda City,Honda,2018,60955,Petrol,1014000
Renault Kwid,Renault,2018,37166,Petrol,474000
Kia Seltos,Kia,2021,29225,Petrol,1248000
Hyundai Santro Xing,Hyundai,2014,77207,Petrol,326000
Tata Nexon,Tata,2018,27891,Petrol,869000
Renault Kwid,Renault,2021,14862,Petrol,561000
Kia Seltos,Kia,2022,2109,Petrol,1968000
Maruti Baleno,Maruti,2017,38218,Petrol,722000
Maruti Alto K10,Maruti,2017,16776,Petrol,410000
Maruti Swift,Maruti,2015,89731,Petrol,516000
Maruti Celerio,Maruti,2018,17111,Petrol,557000
Honda Jazz,Honda,2017,60442,Petrol,625000
Maruti S Cross,Maruti,2015,91260,Diesel,682000
Maruti Baleno,Maruti,2016,89774,Petrol,626000
Maruti Dzire,Maruti,2019,35146,Petrol,839000
Maruti Ciaz,Maruti,2016,55437,Petrol,702000
Maruti Ignis,Maruti,2018,35050,Petrol,508000
Honda City,Honda,2019,27022,Petrol,1199000
Hyundai Elite I20,Hyundai,2019,24929,Petrol,864000
Skoda Rapid,Skoda,2021,7129,Petrol,1016000
Renault Kiger,Renault,2021,13614,Petrol,883000
Maruti Swift,Maruti,2012,79876,Petrol,475000
Honda City,Honda,2018,66399,Petrol,957000
Hyundai Santro Xing,Hyundai,2011,46496,Petrol,274000
Skoda Rapid,Skoda,2016,56058,Diesel,793000
Honda City,Honda,2014,58549,Petrol,571000
Maruti Dzire,Maruti,2018,24083,Petrol,778000
Nissan Micra,Nissan,2017,31476,Petrol,567000
Honda Brio,Honda,2016,48613,Petrol,418000
Ford Freestyle,Ford,2020,24057,Petrol,745000
Ford Ecosport,Ford,2017,71869,Petrol,704000
Maruti Dzire,Maruti,2019,77387,Petrol,661000
Hyundai Eon,Hyundai,2015,48131,Petrol,314000
Renault Kiger,Renault,2021,8434,Petrol,828000
Hyundai Elite I20,Hyundai,2017,40674,Petrol,673000
Maruti Swift,Maruti,2013,66923,Petrol,495600
Maruti Ciaz,Maruti,2016,63537,Petrol,713000
Maruti Alto 800,Maruti,2016,19079,Petrol,316000
Hyundai Grand I10,Hyundai,2019,11731,Petrol,644000
Renault Duster,Renault,2017,33048,Petrol,783000
Maruti Swift,Maruti,2018,26007,Petrol,724000
Hyundai Xcent,Hyundai,2018,27896,Petrol,672000
Mahindra Marazzo,Mahindra,2018,16097,Diesel,1225000
Hyundai New Elantra,Hyundai,2017,36647,Petrol,1147000
Hyundai Aura,Hyundai,2022,4417,Petrol,908000
Maruti Baleno,Maruti,2018,15267,Petrol,760000
Renault Triber,Renault,2020,9797,Petrol,786000
Maruti Swift,Maruti,2013,53357,Petrol,515000
Hyundai Venue,Hyundai,2020,21921,Petrol,877000
Hyundai Grand I10,Hyundai,2018,25919,Petrol,603000
Volkswagen Vento,Volkswagen,2016,42760,Petrol,772000
Renault Duster,Renault,2017,73010,Diesel,895000
Tata Nexon,Tata,2018,22325,Petrol,788000
Maruti Ignis,Maruti,2017,24428,Petrol,618000
Renault Duster,Renault,2016,85849,Diesel,888000
Hyundai Verna,Hyundai,2017,41080,Petrol,838000
Renault Kiger,Renault,2021,14598,Petrol,881000
Hyundai Creta,Hyundai,2019,22160,Petrol,1033000
Maruti S Cross,Maruti,2020,34624,Petrol,1016000
Hyundai Venue,Hyundai,2021,27540,Diesel,1123000
Hyundai Grand I10,Hyundai,2019,47130,Petrol,641000
Hyundai I10,Hyundai,2012,41583,Petrol,401000
Honda City,Honda,2018,36750,Petrol,913000
Honda Jazz,Honda,2016,78056,Petrol,535000
Maruti Swift,Maruti,2018,36789,Petrol,670000
Maruti Dzire,Maruti,2018,44358,Petrol,700000
Tata Nexon,Tata,2019,32192,Petrol,1012000
Honda City,Honda,2015,75876,Petrol,622000
Maruti Swift,Maruti,2022,11704,Petrol,757000
Maruti Wagon R 1.0,Maruti,2018,79467,Petrol,469000
Renault Kwid,Renault,2021,11113,Petrol,577000
Maruti Dzire,Maruti,2017,42925,Petrol,789000
Maruti Wagon R 1.0,Maruti,2018,41375,Petrol,463000
Hyundai Elite I20,Hyundai,2017,79383,Diesel,811000
Hyundai Venue,Hyundai,2020,28552,Petrol,1049000
Toyota Glanza,Toyota,2021,28610,Petrol,850000
Mahindra Xuv500,Mahindra,2017,66971,Diesel,1492000
Hyundai Aura,Hyundai,2020,23585,Petrol,719000
Honda City,Honda,2021,9210,Petrol,1510000
Maruti Dzire,Maruti,2017,34781,Petrol,725000
Maruti Swift,Maruti,2018,46509,Petrol,745000
Renault Duster,Renault,2021,12307,Petrol,1309000
Hyundai Creta,Hyundai,2018,60950,Petrol,1102000
Toyota Yaris,Toyota,2020,41384,Petrol,1126000
Renault Duster,Renault,2016,79298,Diesel,872000
Maruti Celerio,Maruti,2016,63129,Petrol,447000
Maruti Wagon R 1.0,Maruti,2011,37782,Petrol,307000
Renault Kwid,Renault,2020,29474,Petrol,527000
Maruti Baleno,Maruti,2019,24011,Petrol,823000
Mahindra Bolero,Mahindra,2022,6152,Diesel,1169000
Maruti S Presso,Maruti,2022,2909,Petrol,582000
Hyundai Grand I10,Hyundai,2015,92466,Petrol,451000
Renault Duster,Renault,2017,43674,Diesel,909000
Hyundai I10,Hyundai,2016,42444,Petrol,423000
Tata Tiago,Tata,2020,9063,Petrol,783000
Hyundai New I20,Hyundai,2021,17449,Diesel,966600
Maruti Baleno,Maruti,2018,75764,Petrol,700000
Maruti Alto K10,Maruti,2011,80177,Petrol,239000
Maruti Dzire,Maruti,2018,51621,Diesel,878000
Maruti Celerio,Maruti,2017,25691,Petrol,456000
Maruti Celerio,Maruti,2017,33221,Petrol,486000
Maruti S Cross,Maruti,2021,9858,Petrol,1065000
Ford Ecosport,Ford,2017,71122,Diesel,742000
Renault Duster,Renault,2020,66478,Petrol,883000
Renault Kiger,Renault,2021,12233,Petrol,833000
Hyundai Grand I10,Hyundai,2013,54439,Petrol,464000
Hyundai Creta,Hyundai,2016,48147,Petrol,913000
Toyota Glanza,Toyota,2020,39274,Petrol,726000
Mahindra Marazzo,Mahindra,2018,63509,Diesel,1085000
Hyundai Eon,Hyundai,2018,86198,Petrol,344000
Tata Tiago,Tata,2017,31650,Petrol,518000
Maruti Swift,Maruti,2013,69748,Petrol,479000
Maruti Dzire,Maruti,2019,25905,Petrol,713000
Honda Wr-V,Honda,2017,46990,Petrol,795000
Maruti Swift Dzire,Maruti,2016,71423,Petrol,639000
Hyundai Verna,Hyundai,2018,34301,Petrol,1035000
Honda City,Honda,2015,57094,Petrol,657000
Maruti Swift,Maruti,2018,29767,Petrol,729000
Tata Nexon,Tata,2018,26317,Petrol,978000
Maruti Ignis,Maruti,2020,36231,Petrol,647000
Skoda Slavia,Skoda,2022,22496,Petrol,1592000
Kia Seltos,Kia,2019,20986,Petrol,1548000
Maruti Ciaz,Maruti,2016,27972,Petrol,743000
Maruti Swift,Maruti,2014,82824,Petrol,477000
Honda City,Honda,2022,10563,Petrol,1547000
Tata Harrier,Tata,2019,36857,Diesel,1542000
Hyundai Grand I10,Hyundai,2015,58742,Petrol,470000
Hyundai Venue,Hyundai,2020,43055,Diesel,1169000
Renault Kwid,Renault,2018,55801,Petrol,464000
Maruti S Cross,Maruti,2020,25099,Petrol,1149000
Maruti Dzire,Maruti,2019,23804,Petrol,690000
Hyundai Grand I10,Hyundai,2016,43387,Petrol,501000
Maruti Swift,Maruti,2018,16567,Petrol,720000
Maruti Ciaz,Maruti,2016,60318,Petrol,643000
Honda City,Honda,2016,38706,Petrol,777000
Tata Altroz,Tata,2021,15211,Petrol,850000
Hyundai Grand I10 Nios,Hyundai,2020,28593,Petrol,682000
Honda City,Honda,2015,96488,Petrol,544000
Renault Kwid,Renault,2018,34290,Petrol,473000
Renault Kwid,Renault,2020,19204,Petrol,548000
Maruti Dzire,Maruti,2017,93533,Petrol,627000
Maruti Dzire,Maruti,2017,60341,Diesel,738000
Renault Kwid,Renault,2022,13367,Petrol,599000
Kia Seltos,Kia,2019,20453,Petrol,1722000
Honda Jazz,Honda,2010,90448,Petrol,357000
Renault Kwid,Renault,2018,37619,Petrol,426000
Skoda Rapid,Skoda,2017,48820,Diesel,847000
Maruti Swift,Maruti,2013,81712,Petrol,514000
Maruti Swift,Maruti,2019,15962,Petrol,705000
Maruti Celerio,Maruti,2018,46534,Petrol,511000
Hyundai Eon,Hyundai,2016,20185,Petrol,348000
Honda Jazz,Honda,2019,63460,Petrol,938000
Hyundai Grand I10,Hyundai,2014,60199,Petrol,474000
Maruti Swift,Maruti,2018,27683,Petrol,667000
Hyundai Grand I10,Hyundai,2016,33864,Petrol,547000
Renault Kiger,Renault,2021,14608,Petrol,1000000
Maruti Alto K10,Maruti,2011,58552,Petrol,258200
Renault Kwid,Renault,2018,16165,Petrol,474000
Renault Duster,Renault,2017,24130,Petrol,822000
Maruti Ignis,Maruti,2018,27921,Petrol,723000
Maruti Wagon R 1.0,Maruti,2017,44172,Petrol,424000
Honda City,Honda,2018,80079,Petrol,986000
Kia Seltos,Kia,2019,35357,Petrol,1424000
Renault Kwid,Renault,2020,21275,Petrol,526000
Tata Tiago,Tata,2018,95373,Petrol,545000
Renault Duster,Renault,2016,96060,Diesel,897000
Renault Duster,Renault,2016,56003,Diesel,857000
Maruti S Cross,Maruti,2020,13516,Petrol,1116000
Maruti Wagon R 1.0,Maruti,2015,78722,Petrol,387000
Hyundai I10,Hyundai,2015,77569,Petrol,424000
Kia Seltos,Kia,2019,12847,Petrol,1565000
Maruti Swift,Maruti,2019,48168,Petrol,734000
Renault Kwid,Renault,2021,11389,Petrol,579000
Volkswagen Vento,Volkswagen,2018,56224,Petrol,905000
Renault Duster,Renault,2020,20743,Petrol,1020000
Toyota Yaris,Toyota,2020,16633,Petrol,925000
Hyundai Eon,Hyundai,2012,71121,Petrol,256000
Maruti S Cross,Maruti,2016,94756,Diesel,784000
Maruti Alto,Maruti,2012,100100,Petrol,261000
Volkswagen Vento,Volkswagen,2015,74822,Diesel,746000
Mahindra Marazzo,Mahindra,2018,76574,Diesel,1220000
Maruti Ciaz,Maruti,2019,42471,Petrol,1019000
Maruti Swift Dzire,Maruti,2012,45237,Petrol,481000
Renault Kwid,Renault,2021,16476,Petrol,557500
Maruti Baleno,Maruti,2017,51565,Petrol,703000
Maruti Swift,Maruti,2018,22239,Petrol,723000
Renault Kwid,Renault,2021,7998,Petrol,582000
Hyundai Venue,Hyundai,2020,41894,Petrol,1025000
Ford Ecosport,Ford,2016,56368,Petrol,762000
Mahindra Xuv500,Mahindra,2018,51855,Diesel,1709000
Tata Nexon,Tata,2018,21910,Petrol,790000
Renault Duster,Renault,2021,7166,Petrol,1137000
Renault Kiger,Renault,2021,16264,Petrol,902000
Maruti Celerio,Maruti,2018,58870,Petrol,510000
Mahindra Xuv 3Oo,Mahindra,2021,13747,Petrol,1271000
Maruti Alto 800,Maruti,2015,59134,Petrol,287000
Honda City,Honda,2021,20630,Petrol,1415000
Renault Kiger,Renault,2021,11392,Petrol,887000
Honda Jazz,Honda,2019,47033,Petrol,831000
Honda City,Honda,2015,93258,Petrol,633000
Maruti Ritz,Maruti,2013,75514,Petrol,375000
Maruti Ignis,Maruti,2018,36714,Petrol,617000
Honda City,Honda,2015,61656,Petrol,715000
Maruti Swift,Maruti,2013,71511,Petrol,484000
Renault Kiger,Renault,2021,7598,Petrol,1110000
Toyota Yaris,Toyota,2018,18329,Petrol,911000
Toyota Yaris,Toyota,2021,17875,Petrol,1074000
Ford New Figo,Ford,2019,8864,Petrol,638000
Maruti Alto,Maruti,2012,30627,Petrol,261000
Maruti Celerio,Maruti,2017,43933,Petrol,526000
Renault Captur,Renault,2019,26583,Petrol,953000
Volkswagen Taigun,Volkswagen,2022,15119,Petrol,1595000
Maruti Baleno,Maruti,2017,33324,Petrol,834000
Toyota Yaris,Toyota,2021,8601,Petrol,1066000
Hyundai Grand I10,Hyundai,2017,51785,Petrol,528000
Hyundai Grand I10,Hyundai,2015,53689,Petrol,462000
Hyundai Verna,Hyundai,2021,5473,Petrol,1472000
Honda City,Honda,2018,26502,Petrol,874000
Maruti Alto K10,Maruti,2014,97411,Petrol,316000
Maruti Swift,Maruti,2012,74268,Petrol,415000
Maruti Swift,Maruti,2018,21175,Petrol,676000
Honda Jazz,Honda,2017,53548,Petrol,611000
Hyundai Creta,Hyundai,2017,54362,Petrol,969000
Honda Amaze,Honda,2019,45560,Petrol,892000
Maruti Vitara Brezza,Maruti,2021,18348,Petrol,989000
Hyundai I20,Hyundai,2014,54543,Petrol,536000
Renault Kwid,Renault,2018,25316,Petrol,447000
Maruti Alto 800,Maruti,2016,26717,Petrol,304000
Maruti Wagon R 1.0,Maruti,2012,67507,Petrol,340000
Hyundai Verna,Hyundai,2017,77112,Petrol,938000
Maruti Swift,Maruti,2018,63025,Petrol,743000
Tata Punch,Tata,2022,2276,Petrol,1057000
Kia Seltos,Kia,2019,55105,Petrol,1502000
Hyundai New Santro,Hyundai,2019,18088,Petrol,497000
Honda City,Honda,2015,61965,Petrol,668000
Maruti Swift,Maruti,2018,15195,Petrol,713000
Toyota Etios Liva,Toyota,2012,46443,Petrol,448000
Ford Freestyle,Ford,2018,85867,Diesel,619000
Ford Ecosport,Ford,2018,24567,Petrol,1006000
Renault Duster,Renault,2016,65138,Diesel,911000
Maruti Celerio,Maruti,2016,40547,Petrol,480000
Honda City,Honda,2017,40753,Petrol,1076000
Hyundai I10,Hyundai,2012,48335,Petrol,319000
Hyundai Xcent,Hyundai,2018,38601,Petrol,617000
Tata Nexon,Tata,2018,29919,Diesel,1017000
Maruti Ignis,Maruti,2020,56218,Petrol,653000
Honda Jazz,Honda,2019,32790,Petrol,948000
Maruti Alto 800,Maruti,2013,28596,Petrol,288000
Hyundai Elite I20,Hyundai,2017,29591,Petrol,759000
Maruti Alto K10,Maruti,2014,21396,Petrol,345000
Tata Altroz,Tata,2021,9644,Petrol,834000
Hyundai Grand I10,Hyundai,2015,44475,Petrol,475000
Renault Duster,Renault,2017,63987,Petrol,842000
Mahindra Tuv300,Mahindra,2016,81272,Diesel,759000
Maruti Ignis,Maruti,2017,55348,Petrol,595000
Hyundai Elite I20,Hyundai,2017,17292,Petrol,810000
Hyundai Aura,Hyundai,2022,9309,Petrol,757000
Maruti Swift,Maruti,2014,33175,Petrol,526000
Maruti Swift,Maruti,2012,23815,Petrol,509000
Hyundai Venue,Hyundai,2020,8881,Petrol,931000
Tata Nexon,Tata,2018,46978,Petrol,860000
Maruti Dzire,Maruti,2017,44270,Petrol,721000
Maruti Baleno,Maruti,2016,57354,Petrol,652000
Renault Kwid,Renault,2016,46469,Petrol,413000
Hyundai Grand I10,Hyundai,2016,26923,Petrol,571000
Hyundai New Elantra,Hyundai,2019,24185,Petrol,1670000
Maruti Celerio,Maruti,2015,30491,Petrol,420000
Hyundai Grand I10,Hyundai,2014,41606,Petrol,486000
Maruti Swift,Maruti,2013,92529,Petrol,468000
Renault Kwid,Renault,2018,44202,Petrol,432000
Maruti S Cross,Maruti,2016,33741,Diesel,862000
Maruti New Wagon-R,Maruti,2020,50484,Petrol,634000
Ford Freestyle,Ford,2020,37077,Petrol,667000
Honda City,Honda,2018,63562,Petrol,1092000
Honda City,Honda,2017,23263,Petrol,1036000
Maruti Alto 800,Maruti,2016,24839,Petrol,346000
Maruti Swift,Maruti,2012,67458,Petrol,455000
Hyundai New Santro,Hyundai,2018,61590,Petrol,467000
Maruti Alto K10,Maruti,2014,59394,Petrol,339000
Ford Ecosport,Ford,2016,88415,Petrol,711000
Hyundai Grand I10,Hyundai,2015,58975,Petrol,475000
Maruti Alto,Maruti,2019,17101,Petrol,402000
Maruti Alto K10,Maruti,2012,51947,Petrol,266000
Renault Kwid,Renault,2018,24695,Petrol,447000
Maruti Alto K10,Maruti,2013,78152,Petrol,260000
Renault Captur,Renault,2017,34690,Diesel,932000
Maruti Alto,Maruti,2019,3315,Petrol,422000
Maruti Swift,Maruti,2018,46009,Petrol,705000
Maruti Swift,Maruti,2018,44590,Petrol,662000
Maruti Baleno,Maruti,2018,85705,Diesel,641000
Ford Freestyle,Ford,2018,32442,Petrol,659000
Honda Jazz,Honda,2016,52762,Petrol,600000
Kia Seltos,Kia,2019,49589,Petrol,1762000
Renault Duster,Renault,2020,49139,Petrol,1074000
Toyota Yaris,Toyota,2021,8106,Petrol,1104000
Maruti Alto,Maruti,2020,31365,Petrol,408000
Maruti Swift,Maruti,2014,40408,Petrol,522000
Tata Nexon,Tata,2019,33444,Petrol,989000
Renault Duster,Renault,2018,41393,Petrol,929000
Maruti Wagon R 1.0,Maruti,2015,46332,Petrol,394000
Kia Sonet,Kia,2020,19458,Petrol,1275000
Maruti Vitara Brezza,Maruti,2020,5891,Petrol,964000
Maruti Alto 800,Maruti,2014,63813,Petrol,282000
Maruti Alto 800,Maruti,2013,59845,Petrol,277000
Hyundai Eon,Hyundai,2015,37929,Petrol,290000
Maruti S Presso,Maruti,2019,9196,Petrol,496000
Maruti Baleno,Maruti,2020,27459,Petrol,746000
Maruti Alto K10,Maruti,2017,26996,Petrol,373000
Hyundai Elite I20,Hyundai,2016,84407,Petrol,670000
Ford Ecosport,Ford,2019,40849,Diesel,1018000
Maruti Alto 800,Maruti,2012,55568,Petrol,268000
Maruti S Cross,Maruti,2016,76836,Diesel,848000
Toyota Yaris,Toyota,2018,16148,Petrol,911000
Nissan Micra,Nissan,2017,29061,Petrol,494000
Maruti Baleno,Maruti,2019,14743,Petrol,839000
Maruti Swift,Maruti,2014,49197,Petrol,511000
Hyundai Venue,Hyundai,2020,46640,Petrol,1054000
Maruti Swift,Maruti,2014,58358,Petrol,519000
Honda City,Honda,2017,24512,Petrol,1034000
Maruti Ignis,Maruti,2018,16139,Petrol,751000
Maruti Swift,Maruti,2018,21038,Petrol,677000
Hyundai New Santro,Hyundai,2021,33049,Petrol,544000
Maruti Ignis,Maruti,2017,36248,Petrol,646000
Maruti Swift,Maruti,2018,90804,Petrol,655000
Hyundai Grand I10,Hyundai,2015,70339,Petrol,501000
Tata Tiago,Tata,2018,23447,Petrol,572000
Tata Harrier,Tata,2021,18679,Diesel,2107000
Mahindra Tuv300,Mahindra,2016,80670,Diesel,752000
Maruti Baleno,Maruti,2020,22438,Petrol,743000
Maruti Ciaz,Maruti,2021,6868,Petrol,1018000
Maruti Dzire,Maruti,2017,52294,Petrol,677000
Maruti S Cross,Maruti,2016,69577,Diesel,770000
Maruti Celerio,Maruti,2017,77178,Petrol,465000
Honda Jazz,Honda,2017,45938,Petrol,630000
Mahindra Xuv 3Oo,Mahindra,2021,22237,Diesel,1321000
Tata Nexon,Tata,2018,86127,Diesel,953000
Maruti Alto,Maruti,2021,1513,Petrol,475000
Maruti Wagon R 1.0,Maruti,2012,58454,Petrol,319000
Tata Nexon,Tata,2019,25901,Diesel,1079000
Renault Kiger,Renault,2022,17605,Petrol,869000
Hyundai Elite I20,Hyundai,2016,72534,Petrol,702000
Kia Seltos,Kia,2019,17237,Petrol,1455000
Volkswagen Vento,Volkswagen,2018,43521,Petrol,1039000
Maruti Ignis,Maruti,2018,23381,Petrol,636000
Toyota Yaris,Toyota,2019,39908,Petrol,789000
Renault Duster,Renault,2016,60795,Diesel,866000
Hyundai Eon,Hyundai,2012,38430,Petrol,295000
Maruti Ciaz,Maruti,2021,15343,Petrol,1044000
Toyota Yaris,Toyota,2018,24612,Petrol,827000
Maruti Celerio,Maruti,2014,76346,Petrol,408000
Maruti Alto 800,Maruti,2013,53211,Petrol,263000
Maruti Alto,Maruti,2019,41958,Petrol,424000
Volkswagen Vento,Volkswagen,2015,70252,Diesel,763000
Hyundai Elite I20,Hyundai,2016,30042,Petrol,728000
Toyota Yaris,Toyota,2021,26671,Petrol,1087000
Maruti Ciaz,Maruti,2020,26306,Petrol,1036000
Hyundai New Santro,Hyundai,2018,36324,Petrol,531000
Ford Ecosport,Ford,2016,39441,Petrol,745000
Maruti Swift Dzire,Maruti,2013,56927,Petrol,513000
Renault Duster,Renault,2018,31214,Petrol,927000
Maruti Celerio,Maruti,2015,67255,Petrol,440000
Kia Seltos,Kia,2020,34232,Petrol,1507000
Maruti Dzire,Maruti,2017,22322,Petrol,737000
Toyota Yaris,Toyota,2018,76824,Petrol,802000
Hyundai Eon,Hyundai,2014,64990,Petrol,311000
Tata Altroz,Tata,2021,8838,Petrol,848000
Renault Duster,Renault,2018,40128,Petrol,894000
Renault Kwid,Renault,2019,44531,Petrol,495000
Renault Kwid,Renault,2019,4096,Petrol,467000
Honda Jazz,Honda,2021,22928,Petrol,999000
Hyundai Grand I10,Hyundai,2016,51086,Petrol,555000
Hyundai Elite I20,Hyundai,2016,35770,Petrol,724000
Maruti Alto K10,Maruti,2012,57513,Petrol,266000
Maruti Baleno,Maruti,2020,18508,Petrol,927000
Hyundai Grand I10,Hyundai,2017,54227,Petrol,532000
Hyundai Aura,Hyundai,2020,41470,Petrol,794000
Renault Duster,Renault,2016,21016,Diesel,950000
Hyundai New Santro,Hyundai,2021,16502,Petrol,571000
Kia Sonet,Kia,2021,25885,Diesel,1215000
